Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
                0.00    0.00      80/517         std::_Rb_tree_iterator<char> std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_M_insert_<char const&, std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_Alloc_node>(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, char const&, std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_Alloc_node&) [49]
                0.00    0.00     171/517         std::pair<std::_Rb_tree_iterator<char>, bool> std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_M_insert_unique<char const&>(char const&) [30]
                0.00    0.00     266/517         std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_S_key(std::_Rb_tree_node<char> const*) [21]
[10]     0.0    0.00    0.00     517         std::_Identity<char>::operator()(char const&) const [10]
-----------------------------------------------
                0.00    0.00      25/443         std::pair<std::_Rb_tree_iterator<char>, bool> std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_M_insert_unique<char const&>(char const&) [30]
                0.00    0.00     101/443         std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::begin() [62]
                0.00    0.00     146/443         std::_Rb_tree_iterator<char> std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_M_insert_<char const&, std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_Alloc_node>(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, char const&, std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_Alloc_node&) [49]
                0.00    0.00     171/443         std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_M_get_insert_unique_pos(char const&) [31]
[11]     0.0    0.00    0.00     443         std::_Rb_tree_iterator<char>::_Rb_tree_iterator(std::_Rb_tree_node_base*) [11]
-----------------------------------------------
                0.00    0.00     146/317         std::_Rb_tree_iterator<char> std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_M_insert_<char const&, std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_Alloc_node>(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, char const&, std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_Alloc_node&) [49]
                0.00    0.00     171/317         std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_M_get_insert_unique_pos(char const&) [31]
[12]     0.0    0.00    0.00     317         std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_M_end() [12]
-----------------------------------------------
                0.00    0.00       1/293         void std::_Construct<int>(int*) [116]
                0.00    0.00     146/293         void std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_M_construct_node<char const&>(std::_Rb_tree_node<char>*, char const&) [56]
                0.00    0.00     146/293         void __gnu_cxx::new_allocator<std::_Rb_tree_node<char> >::construct<char, char const&>(char*, char const&) [41]
[13]     0.0    0.00    0.00     293         operator new(unsigned long, void*) [13]
-----------------------------------------------
                0.00    0.00     292/292         std::_Rb_tree_node<char>::_M_valptr() [16]
[14]     0.0    0.00    0.00     292         __gnu_cxx::__aligned_membuf<char>::_M_ptr() [14]
                0.00    0.00     292/292         __gnu_cxx::__aligned_membuf<char>::_M_addr() [15]
-----------------------------------------------
                0.00    0.00     292/292         __gnu_cxx::__aligned_membuf<char>::_M_ptr() [14]
[15]     0.0    0.00    0.00     292         __gnu_cxx::__aligned_membuf<char>::_M_addr() [15]
-----------------------------------------------
                0.00    0.00     146/292         std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_M_destroy_node(std::_Rb_tree_node<char>*) [55]
                0.00    0.00     146/292         void std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_M_construct_node<char const&>(std::_Rb_tree_node<char>*, char const&) [56]
[16]     0.0    0.00    0.00     292         std::_Rb_tree_node<char>::_M_valptr() [16]
                0.00    0.00     292/292         __gnu_cxx::__aligned_membuf<char>::_M_ptr() [14]
-----------------------------------------------
                0.00    0.00     266/266         std::_Rb_tree_node<char>::_M_valptr() const [19]
[17]     0.0    0.00    0.00     266         __gnu_cxx::__aligned_membuf<char>::_M_ptr() const [17]
                0.00    0.00     266/266         __gnu_cxx::__aligned_membuf<char>::_M_addr() const [18]
-----------------------------------------------
                0.00    0.00     266/266         __gnu_cxx::__aligned_membuf<char>::_M_ptr() const [17]
[18]     0.0    0.00    0.00     266         __gnu_cxx::__aligned_membuf<char>::_M_addr() const [18]
-----------------------------------------------
                0.00    0.00     266/266         std::_Rb_tree<char, char, std::_Identity<char>, std::less<char>, std::allocator<char> >::_S_key(std::_Rb_tree_node<char> const*) [21]
[19]     0.0    0.00    0.00     266         std::_Rb_tree_node<char>::_M_valptr() const [19]
                0.00    0.00     266/266         __gnu_cxx::__aligned_membuf<char>::_M_ptr() const [17]
